Location,Latitude,Longitude,Country,Skill,Jobs,Country_Percentage,Skills_Percentage,NumberSkills,NumberCountry
Exeter,50.7236,-3.52751,United Kingdom,Business Intelligence,17,38.64,11.89,1,1
Berlin,52.52437,13.41053,Germany,Data Analysis,1,5,6.67,1,1
Bath,51.3751,-2.36172,United Kingdom,Data Engineering,4,20,2.6,1,1
Berlin,52.52437,13.41053,Germany,Data Visualization,2,10,28.57,1,1
Berlin,52.52437,13.41053,Germany,Cloud Computing,9,45,6.08,1,1
Barcelona,41.38879,2.15899,Spain,Business Intelligence,4,20,2.8,1,1
Dusseldorf,51.22172,6.77616,Germany,Data Governance,1,7.14,3.33,1,1
Helsinki,60.16952,24.93545,Finland,Data Engineering,4,28.57,2.6,1,1
Edinburgh,55.95206,-3.19648,United Kingdom,Cloud Computing,4,28.57,2.7,1,1
London,51.50853,-0.12574,United Kingdom,Business Intelligence,5,35.71,3.5,1,1
London,51.50853,-0.12574,United Kingdom,Data Management,1,3.33,3.85,1,1
Ulm,48.39841,9.99155,Germany,Data Engineering,8,26.67,5.19,1,1
Berlin,52.52437,13.41053,Germany,Artificial Intelligence,11,36.67,22.45,1,1
Paris,48.85341,2.3488,France,Cloud Computing,4,13.33,2.7,1,1
Amsterdam,52.37403,4.88969,Netherlands,Business Intelligence,6,20,4.2,1,1
Prague,50.08804,14.42076,Czech Republic,Data Management,21,4.99,80.77,1,1
Berlin,52.52437,13.41053,Germany,Data Quality Management,1,0.24,100,1,1
Amsterdam,52.37403,4.88969,Netherlands,Data Governance,27,6.41,90,1,1
Dublin,53.33306,-6.24889,Ireland,Data Analysis,14,3.33,93.33,1,1
Amsterdam,52.37403,4.88969,Netherlands,Data Engineering,126,29.93,81.82,1,1
Little Chesterford,52.05392,0.21054,United Kingdom,Data Visualization,3,0.71,42.86,1,1
Berlin,52.52437,13.41053,Germany,Artificial Intelligence,30,7.13,61.22,1,1
Amsterdam,52.37403,4.88969,Netherlands,Cloud Computing,89,21.14,60.14,1,1
Munich,48.13743,11.57549,Germany,Mathematics,14,3.33,53.85,1,1
Munich,48.13743,11.57549,Germany,Statistics,1,0.24,50,1,1
London,51.50853,-0.12574,United Kingdom,Business Intelligence,95,22.57,66.43,1,1
London,51.50853,-0.12574,United Kingdom,Data Management,3,4.17,11.54,1,1
London,51.50853,-0.12574,United Kingdom,Data Governance,2,2.78,6.67,1,1
London,51.50853,-0.12574,United Kingdom,Data Engineering,11,15.28,7.14,1,1
Munich,48.13743,11.57549,Germany,Artificial Intelligence,3,4.17,6.12,1,1
Warsaw,52.22977,21.01178,Poland,Cloud Computing,25,34.72,16.89,1,1
Berlin,52.52437,13.41053,Germany,Mathematics,11,15.28,42.31,1,1
London,51.50853,-0.12574,United Kingdom,Statistics,1,1.39,50,1,1
Cluj-Napoca,46.76667,23.6,Romania,Business Intelligence,16,22.22,11.19,1,1
Cambridge,52.2,0.11667,United Kingdom,Data Management,1,2.27,3.85,1,1
Fulda,50.55162,9.67518,Germany,Data Engineering,1,2.27,0.65,1,1
Amsterdam,52.37403,4.88969,Netherlands,Data Visualization,2,4.55,28.57,1,1
Amsterdam,52.37403,4.88969,Netherlands,Artificial Intelligence,5,11.36,10.2,1,1
Hamburg,53.57532,10.01534,Germany,Cloud Computing,17,38.64,11.49,1,1
Rotterdam,51.9225,4.47917,Netherlands,Mathematics,1,2.27,3.85,1,1
Amsterdam,52.37403,4.88969,Netherlands,Business Intelligence,17,38.64,11.89,1,1
Hamburg,53.57532,10.01534,Germany,Data Analysis,1,5,6.67,1,1
Paris,48.85341,2.3488,France,Data Engineering,4,20,2.6,1,1
Shannon,52.70389,-8.86417,Ireland,Data Visualization,2,10,28.57,1,1
London,51.50853,-0.12574,United Kingdom,Cloud Computing,9,45,6.08,1,1
Berlin,52.52437,13.41053,Germany,Business Intelligence,4,20,2.8,1,1
London,51.50853,-0.12574,United Kingdom,Data Governance,1,7.14,3.33,1,1
Helsinki,60.16952,24.93545,Finland,Data Engineering,4,28.57,2.6,1,1
Berlin,52.52437,13.41053,Germany,Cloud Computing,4,28.57,2.7,1,1
Berlin,52.52437,13.41053,Germany,Business Intelligence,5,35.71,3.5,1,1
Courbevoie,48.89672,2.25666,France,Data Management,1,3.33,3.85,1,1
Berlin,52.52437,13.41053,Germany,Data Engineering,8,26.67,5.19,1,1
Berlin,52.52437,13.41053,Germany,Artificial Intelligence,11,36.67,22.45,1,1
Berlin,52.52437,13.41053,Germany,Cloud Computing,4,13.33,2.7,1,1
Dublin,53.33306,-6.24889,Ireland,Business Intelligence,6,20,4.2,1,1
Krakow,50.06143,19.93658,Poland,Data Management,21,4.99,80.77,1,1
London,51.50853,-0.12574,United Kingdom,Data Quality Management,1,0.24,100,1,1
Berlin,52.52437,13.41053,Germany,Data Governance,27,6.41,90,1,1
Warsaw,52.22977,21.01178,Poland,Data Analysis,14,3.33,93.33,1,1
PoznaÅ‹,52.40692,16.92993,Poland,Data Engineering,126,29.93,81.82,1,1
Guildford,51.23536,-0.57427,United Kingdom,Data Visualization,3,0.71,42.86,1,1
Berlin,52.52437,13.41053,Germany,Artificial Intelligence,30,7.13,61.22,1,1
Rotterdam,51.9225,4.47917,Netherlands,Cloud Computing,89,21.14,60.14,1,1
Vienna,48.20849,16.37208,Austria,Mathematics,14,3.33,53.85,1,1
Vienna,48.20849,16.37208,Austria,Statistics,1,0.24,50,1,1
Vienna,48.20849,16.37208,Austria,Business Intelligence,95,22.57,66.43,1,1
Vienna,48.20849,16.37208,Austria,Data Management,3,4.17,11.54,1,1
Vienna,48.20849,16.37208,Austria,Data Governance,2,2.78,6.67,1,1
Dublin,53.33306,-6.24889,Ireland,Data Engineering,11,15.28,7.14,1,1
Exeter,50.7236,-3.52751,United Kingdom,Artificial Intelligence,3,4.17,6.12,1,1
Leeds,53.79648,-1.54785,United Kingdom,Cloud Computing,25,34.72,16.89,1,1
Athens,37.97945,23.71622,Greece,Mathematics,11,15.28,42.31,1,1
Lisbon,38.71667,-9.13333,Portugal,Statistics,1,1.39,50,1,1
Lisbon,38.71667,-9.13333,Portugal,Business Intelligence,16,22.22,11.19,1,1
Lisbon,38.71667,-9.13333,Portugal,Data Management,1,2.27,3.85,1,1
Milton Keynes,52.04172,-0.75583,United Kingdom,Data Engineering,1,2.27,0.65,1,1
Munich,48.13743,11.57549,Germany,Data Visualization,2,4.55,28.57,1,1
London,51.50853,-0.12574,United Kingdom,Artificial Intelligence,5,11.36,10.2,1,1
London,51.50853,-0.12574,United Kingdom,Cloud Computing,17,38.64,11.49,1,1
London,51.50853,-0.12574,United Kingdom,Mathematics,1,2.27,3.85,1,1
London,51.50853,-0.12574,United Kingdom,Business Intelligence,17,38.64,11.89,1,1
London,51.50853,-0.12574,United Kingdom,Data Analysis,1,5,6.67,1,1
London,51.50853,-0.12574,United Kingdom,Data Engineering,4,20,2.6,1,1
Paris,48.85341,2.3488,France,Data Visualization,2,10,28.57,1,1
Hamburg,53.57532,10.01534,Germany,Cloud Computing,9,45,6.08,1,1
Exeter,50.7236,-3.52751,United Kingdom,Business Intelligence,4,20,2.8,1,1
Trento,46.06787,11.12108,Italy,Data Governance,1,7.14,3.33,1,1
Madrid,40.4165,-3.70256,Spain,Data Engineering,4,28.57,2.6,1,1
Madrid,40.4165,-3.70256,Spain,Cloud Computing,4,28.57,2.7,1,1
Stockholm,59.33258,18.0649,Sweden,Business Intelligence,5,35.71,3.5,1,1
Mauren,47.21805,9.5442,Liechtenstein,Data Management,1,3.33,3.85,1,1
Sofia,42.69751,23.32415,Bulgaria,Data Engineering,8,26.67,5.19,1,1
Sofia,42.69751,23.32415,Bulgaria,Artificial Intelligence,11,36.67,22.45,1,1
Galway,53.27194,-9.04889,Ireland,Cloud Computing,4,13.33,2.7,1,1
Munich,48.13743,11.57549,Germany,Business Intelligence,6,20,4.2,1,1
Hombrechtikon,47.25298,8.77212,Switzerland,Data Management,21,4.99,80.77,1,1
Berlin,52.52437,13.41053,Germany,Data Quality Management,1,0.24,100,1,1
Dublin,53.33306,-6.24889,Ireland,Data Governance,27,6.41,90,1,1
Dublin,53.33306,-6.24889,Ireland,Data Analysis,14,3.33,93.33,1,1
London,51.50853,-0.12574,United Kingdom,Data Engineering,126,29.93,81.82,1,1
Cambridge,52.2,0.11667,United Kingdom,Data Visualization,3,0.71,42.86,1,1
Berlin,52.52437,13.41053,Germany,Artificial Intelligence,30,7.13,61.22,1,1
London,51.50853,-0.12574,United Kingdom,Cloud Computing,89,21.14,60.14,1,1
Munich,48.13743,11.57549,Germany,Mathematics,14,3.33,53.85,1,1
London,51.50853,-0.12574,United Kingdom,Statistics,1,0.24,50,1,1
Dusseldorf,51.22172,6.77616,Germany,Business Intelligence,95,22.57,66.43,1,1
Wendlingen am Neckar,48.67124,9.37632,Germany,Data Management,3,4.17,11.54,1,1
London,51.50853,-0.12574,United Kingdom,Data Governance,2,2.78,6.67,1,1
London,51.50853,-0.12574,United Kingdom,Data Engineering,11,15.28,7.14,1,1
Berlin,52.52437,13.41053,Germany,Artificial Intelligence,3,4.17,6.12,1,1
London,51.50853,-0.12574,United Kingdom,Cloud Computing,25,34.72,16.89,1,1
Manchester,53.48095,-2.23743,United Kingdom,Mathematics,11,15.28,42.31,1,1
Grenoble,45.16667,5.71667,France,Statistics,1,1.39,50,1,1
Gothenburg,57.70716,11.96679,Sweden,Business Intelligence,16,22.22,11.19,1,1
Bubenreuth,49.62745,11.01723,Germany,Data Management,1,2.27,3.85,1,1
Vienna,48.20849,16.37208,Austria,Data Engineering,1,2.27,0.65,1,1
Amsterdam,52.37403,4.88969,Netherlands,Data Visualization,2,4.55,28.57,1,1
Amsterdam,52.37403,4.88969,Netherlands,Artificial Intelligence,5,11.36,10.2,1,1
Rotterdam,51.9225,4.47917,Netherlands,Cloud Computing,17,38.64,11.49,1,1
el Prat de Llobregat,41.32784,2.09472,Spain,Mathematics,1,2.27,3.85,1,1
Krakow,50.06143,19.93658,Poland,Business Intelligence,17,38.64,11.89,1,1
London,51.50853,-0.12574,United Kingdom,Data Analysis,1,5,6.67,1,1
Berlin,52.52437,13.41053,Germany,Data Engineering,4,20,2.6,1,1
Hamburg,53.57532,10.01534,Germany,Data Visualization,2,10,28.57,1,1
Hamburg,53.57532,10.01534,Germany,Cloud Computing,9,45,6.08,1,1
London,51.50853,-0.12574,United Kingdom,Business Intelligence,4,20,2.8,1,1
London,51.50853,-0.12574,United Kingdom,Data Governance,1,7.14,3.33,1,1
London,51.50853,-0.12574,United Kingdom,Data Engineering,4,28.57,2.6,1,1
London,51.50853,-0.12574,United Kingdom,Cloud Computing,4,28.57,2.7,1,1
Edinburgh,55.95206,-3.19648,United Kingdom,Business Intelligence,5,35.71,3.5,1,1
Cambridge,52.2,0.11667,United Kingdom,Data Management,1,3.33,3.85,1,1
Halton,51.78271,-0.73467,United Kingdom,Data Engineering,8,26.67,5.19,1,1
Amsterdam,52.37403,4.88969,Netherlands,Artificial Intelligence,11,36.67,22.45,1,1
Hamburg,53.57532,10.01534,Germany,Cloud Computing,4,13.33,2.7,1,1
Marbella,36.51543,-4.88583,Spain,Business Intelligence,6,20,4.2,1,1
Paris,48.85341,2.3488,France,Data Management,21,4.99,80.77,1,1
Barcelona,41.38879,2.15899,Spain,Data Quality Management,1,0.24,100,1,1
Barcelona,41.38879,2.15899,Spain,Data Governance,27,6.41,90,1,1
London,51.50853,-0.12574,United Kingdom,Data Analysis,14,3.33,93.33,1,1
London,51.50853,-0.12574,United Kingdom,Data Engineering,126,29.93,81.82,1,1
Machelen,50.91061,4.44174,Belgium,Data Visualization,3,0.71,42.86,1,1
London,51.50853,-0.12574,United Kingdom,Artificial Intelligence,30,7.13,61.22,1,1
London,51.50853,-0.12574,United Kingdom,Cloud Computing,89,21.14,60.14,1,1
London,51.50853,-0.12574,United Kingdom,Mathematics,14,3.33,53.85,1,1
Linkí_ping,58.41086,15.62157,Sweden,Statistics,1,0.24,50,1,1
Amsterdam,52.37403,4.88969,Netherlands,Business Intelligence,95,22.57,66.43,1,1
The Hague,52.07667,4.29861,Netherlands,Data Management,3,4.17,11.54,1,1
Walldorf,49.30637,8.64236,Germany,Data Governance,2,2.78,6.67,1,1
Walldorf,49.30637,8.64236,Germany,Data Engineering,11,15.28,7.14,1,1
Walldorf,49.30637,8.64236,Germany,Artificial Intelligence,3,4.17,6.12,1,1
Walldorf,49.30637,8.64236,Germany,Cloud Computing,25,34.72,16.89,1,1
Bristol,51.45523,-2.59665,United Kingdom,Mathematics,11,15.28,42.31,1,1
London,51.50853,-0.12574,United Kingdom,Statistics,1,1.39,50,1,1
Eindhoven,51.44083,5.47778,Netherlands,Business Intelligence,16,22.22,11.19,1,1
Begbroke,51.82085,-1.31763,United Kingdom,Data Management,1,2.27,3.85,1,1
London,51.50853,-0.12574,United Kingdom,Data Engineering,1,2.27,0.65,1,1
Gothenburg,57.70716,11.96679,Sweden,Data Visualization,2,4.55,28.57,1,1
Sofia,42.69751,23.32415,Bulgaria,Artificial Intelligence,5,11.36,10.2,1,1
London,51.50853,-0.12574,United Kingdom,Cloud Computing,17,38.64,11.49,1,1
Amsterdam,52.37403,4.88969,Netherlands,Mathematics,1,2.27,3.85,1,1
Cologne,50.93333,6.95,Germany,Business Intelligence,17,38.64,11.89,1,1
Dusseldorf,51.22172,6.77616,Germany,Data Analysis,1,5,6.67,1,1
Edinburgh,55.95206,-3.19648,United Kingdom,Data Engineering,4,20,2.6,1,1
Las Rozas de Madrid,40.49292,-3.87371,Spain,Data Visualization,2,10,28.57,1,1
Las Rozas de Madrid,40.49292,-3.87371,Spain,Cloud Computing,9,45,6.08,1,1
PoznaÅ‹,52.40692,16.92993,Poland,Business Intelligence,4,20,2.8,1,1
Potsdam,52.39886,13.06566,Germany,Data Governance,1,7.14,3.33,1,1
The Hague,52.07667,4.29861,Netherlands,Data Engineering,4,28.57,2.6,1,1
Leixlip,53.36583,-6.49556,Ireland,Cloud Computing,4,28.57,2.7,1,1
London,51.50853,-0.12574,United Kingdom,Business Intelligence,5,35.71,3.5,1,1
London,51.50853,-0.12574,United Kingdom,Data Management,1,3.33,3.85,1,1
Manchester,53.48095,-2.23743,United Kingdom,Data Engineering,8,26.67,5.19,1,1
London,51.50853,-0.12574,United Kingdom,Artificial Intelligence,11,36.67,22.45,1,1
Leeds,53.79648,-1.54785,United Kingdom,Cloud Computing,4,13.33,2.7,1,1
London,51.50853,-0.12574,United Kingdom,Business Intelligence,6,20,4.2,1,1
Bath,51.3751,-2.36172,United Kingdom,Data Management,21,4.99,80.77,1,1
London,51.50853,-0.12574,United Kingdom,Data Quality Management,1,0.24,100,1,1
Dublin,53.33306,-6.24889,Ireland,Data Governance,27,6.41,90,1,1
Lausanne,46.516,6.63282,Switzerland,Data Analysis,14,3.33,93.33,1,1
Berlin,52.52437,13.41053,Germany,Data Engineering,126,29.93,81.82,1,1
Berlin,52.52437,13.41053,Germany,Data Visualization,3,0.71,42.86,1,1
Pozuelo de Alarcí_n,40.43293,-3.81338,Spain,Artificial Intelligence,30,7.13,61.22,1,1
Budapest,47.49801,19.03991,Hungary,Cloud Computing,89,21.14,60.14,1,1
Wollerau,47.19478,8.71903,Switzerland,Mathematics,14,3.33,53.85,1,1
Reading,51.45625,-0.97113,United Kingdom,Statistics,1,0.24,50,1,1
Dublin,53.33306,-6.24889,Ireland,Business Intelligence,95,22.57,66.43,1,1
Hinxton,52.08529,0.18198,United Kingdom,Data Management,3,4.17,11.54,1,1
Barcelona,41.38879,2.15899,Spain,Data Governance,2,2.78,6.67,1,1
The Hague,52.07667,4.29861,Netherlands,Data Engineering,11,15.28,7.14,1,1
Barcelona,41.38879,2.15899,Spain,Artificial Intelligence,3,4.17,6.12,1,1
Barcelona,41.38879,2.15899,Spain,Cloud Computing,25,34.72,16.89,1,1
Woking,51.31903,-0.55893,United Kingdom,Mathematics,11,15.28,42.31,1,1
Madrid,40.4165,-3.70256,Spain,Statistics,1,1.39,50,1,1
Uk,54.9426,57.2634,Russia,Business Intelligence,16,22.22,11.19,1,1
Munich,48.13743,11.57549,Germany,Data Management,1,2.27,3.85,1,1
Paris,48.85341,2.3488,France,Data Engineering,1,2.27,0.65,1,1
London,51.50853,-0.12574,United Kingdom,Data Visualization,2,4.55,28.57,1,1
Berlin,52.52437,13.41053,Germany,Artificial Intelligence,5,11.36,10.2,1,1
Berlin,52.52437,13.41053,Germany,Cloud Computing,17,38.64,11.49,1,1
Berlin,52.52437,13.41053,Germany,Mathematics,1,2.27,3.85,1,1
Karlsruhe,49.00936,8.40444,Germany,Business Intelligence,17,38.64,11.89,1,1
Cologne,50.93333,6.95,Germany,Data Analysis,1,5,6.67,1,1
March,52.55131,0.08828,United Kingdom,Data Engineering,4,20,2.6,1,1
March,52.55131,0.08828,United Kingdom,Data Visualization,2,10,28.57,1,1
London,51.50853,-0.12574,United Kingdom,Cloud Computing,9,45,6.08,1,1
London,51.50853,-0.12574,United Kingdom,Business Intelligence,4,20,2.8,1,1
London,51.50853,-0.12574,United Kingdom,Data Governance,1,7.14,3.33,1,1
London,51.50853,-0.12574,United Kingdom,Data Engineering,4,28.57,2.6,1,1
Munich,48.13743,11.57549,Germany,Cloud Computing,4,28.57,2.7,1,1
Munich,48.13743,11.57549,Germany,Business Intelligence,5,35.71,3.5,1,1
Sofia,42.69751,23.32415,Bulgaria,Data Management,1,3.33,3.85,1,1
Barcelona,41.38879,2.15899,Spain,Data Engineering,8,26.67,5.19,1,1
Dublin,53.33306,-6.24889,Ireland,Artificial Intelligence,11,36.67,22.45,1,1
Cambridge,52.2,0.11667,United Kingdom,Cloud Computing,4,13.33,2.7,1,1
Great Gaddesden,51.79138,-0.50509,United Kingdom,Business Intelligence,6,20,4.2,1,1
Dublin,53.33306,-6.24889,Ireland,Data Management,21,4.99,80.77,1,1
Newcastle upon Tyne,54.97328,-1.61396,United Kingdom,Data Quality Management,1,0.24,100,1,1
London,51.50853,-0.12574,United Kingdom,Data Governance,27,6.41,90,1,1
Newcastle upon Tyne,54.97328,-1.61396,United Kingdom,Data Analysis,14,3.33,93.33,1,1
Blackpool,53.81667,-3.05,United Kingdom,Data Engineering,126,29.93,81.82,1,1
Sheffield,53.38297,-1.4659,United Kingdom,Data Visualization,3,0.71,42.86,1,1
Dublin,53.33306,-6.24889,Ireland,Artificial Intelligence,30,7.13,61.22,1,1
Munich,48.13743,11.57549,Germany,Cloud Computing,89,21.14,60.14,1,1
London,51.50853,-0.12574,United Kingdom,Mathematics,14,3.33,53.85,1,1
Dublin,53.33306,-6.24889,Ireland,Statistics,1,0.24,50,1,1
Berlin,52.52437,13.41053,Germany,Business Intelligence,95,22.57,66.43,1,1
Lund,55.70584,13.19321,Sweden,Data Management,3,4.17,11.54,1,1
Didcot,51.60928,-1.24214,United Kingdom,Data Governance,2,2.78,6.67,1,1
Berlin,52.52437,13.41053,Germany,Data Engineering,11,15.28,7.14,1,1
Madrid,40.4165,-3.70256,Spain,Artificial Intelligence,3,4.17,6.12,1,1
London,51.50853,-0.12574,United Kingdom,Cloud Computing,25,34.72,16.89,1,1
Stockholm,59.33258,18.0649,Sweden,Mathematics,11,15.28,42.31,1,1
Hinxton,52.08529,0.18198,United Kingdom,Statistics,1,1.39,50,1,1
Prague,50.08804,14.42076,Czech Republic,Business Intelligence,16,22.22,11.19,1,1
Bucharest,44.43225,26.10626,Romania,Data Management,1,2.27,3.85,1,1
Dublin,53.33306,-6.24889,Ireland,Data Engineering,1,2.27,0.65,1,1
Stockholm,59.33258,18.0649,Sweden,Data Visualization,2,4.55,28.57,1,1
Berlin,52.52437,13.41053,Germany,Artificial Intelligence,5,11.36,10.2,1,1
Edinburgh,55.95206,-3.19648,United Kingdom,Cloud Computing,17,38.64,11.49,1,1
London,51.50853,-0.12574,United Kingdom,Mathematics,1,2.27,3.85,1,1
London,51.50853,-0.12574,United Kingdom,Business Intelligence,17,38.64,11.89,1,1
Cardiff,51.48,-3.18,United Kingdom,Data Analysis,1,5,6.67,1,1
Helsinki,60.16952,24.93545,Finland,Data Engineering,4,20,2.6,1,1
Frankfurt am Main,50.11552,8.68417,Germany,Data Visualization,2,10,28.57,1,1
Portsmouth,50.79899,-1.09125,United Kingdom,Cloud Computing,9,45,6.08,1,1
Bunnik,52.06667,5.19861,Netherlands,Business Intelligence,4,20,2.8,1,1
Edinburgh,55.95206,-3.19648,United Kingdom,Data Governance,1,7.14,3.33,1,1
Warsaw,52.22977,21.01178,Poland,Data Engineering,4,28.57,2.6,1,1
Cambridge,52.2,0.11667,United Kingdom,Cloud Computing,4,28.57,2.7,1,1
GdaÅ‹sk,54.35205,18.64637,Poland,Business Intelligence,5,35.71,3.5,1,1
Royal Leamington Spa,52.3,-1.53333,United Kingdom,Data Management,1,3.33,3.85,1,1
Zurich,47.36667,8.55,Switzerland,Data Engineering,8,26.67,5.19,1,1
Leatherhead,51.29652,-0.3338,United Kingdom,Artificial Intelligence,11,36.67,22.45,1,1
London,51.50853,-0.12574,United Kingdom,Cloud Computing,4,13.33,2.7,1,1
London,51.50853,-0.12574,United Kingdom,Business Intelligence,6,20,4.2,1,1
Bucharest,44.43225,26.10626,Romania,Data Management,21,4.99,80.77,1,1
Delft,52.00667,4.35556,Netherlands,Data Quality Management,1,0.24,100,1,1
Garching bei Mí_nchen,48.24896,11.65101,Germany,Data Governance,27,6.41,90,1,1
Genoa,44.4264,8.91519,Italy,Data Analysis,14,3.33,93.33,1,1
London,51.50853,-0.12574,United Kingdom,Data Engineering,126,29.93,81.82,1,1
